Staten Island Rolling Sales File.  All Sales From March 2016 - February 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 3/9/2017  Co-op Sales Files as of 3/10/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,239, ,A2,116 NORTH PINE TERRACE                   ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,008 ",1965,1,A2,"550,000",14/06/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,414, ,A2,924 ANNADALE ROAD                        ,            ,10312, 1 , -   , 1 ," 4,879 "," 2,088 ",1965,1,A2,0,28/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,516, ,A5,24 EAST TENAFLY AVENUE                   ,            ,10312, 1 , -   , 1 ," 3,900 "," 1,834 ",1975,1,A5,"510,000",05/12/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,518, ,A1,20 EAST TENAFLY AVENUE                   ,            ,10312, 1 , -   , 1 ," 3,854 "," 1,638 ",1975,1,A1,"470,000",29/08/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,635, ,A3,23 TENAFLY PLACE                         ,            ,10312, 1 , -   , 1 ," 5,516 "," 2,395 ",2014,1,A3,0,04/06/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6249,700, ,A1,77 BENNETT AVENUE                        ,            ,10312, 1 , -   , 1 ," 8,322 "," 2,144 ",1986,1,A1,"950,000",04/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6251,14, ,A1,76 DOWNES AVENUE                         ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,966 ",1974,1,A1,0,26/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6251,75, ,A5,97 BENNETT AVENUE                        ,            ,10312, 1 , -   , 1 ," 3,135 "," 1,344 ",1970,1,A5,0,20/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6251,80, ,A5,109 BENNETT AVENUE                       ,            ,10312, 1 , -   , 1 ," 3,283 "," 1,344 ",1970,1,A5,0,19/08/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6254,99, ,A1,75 SOUTH RAILROAD ST                     ,            ,10312, 1 , -   , 1 ," 2,960 "," 1,362 ",1993,1,A1,"95,000",12/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6257,90, ,A2,10 BURCHARD COURT                        ,            ,10312, 1 , -   , 1 ," 6,138 "," 1,086 ",1955,1,A2,"390,000",23/08/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6261,11, ,A2,249 EDGEGROVE AVENUE                     ,            ,10312, 1 , -   , 1 ," 4,000 ", 720 ,1945,1,A2,"459,000",20/10/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6261,19, ,A0,230 IONIA AVENUE                         ,            ,10312, 1 , -   , 1 ," 8,000 "," 1,600 ",1960,1,A0,0,06/12/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6268,5, ,A1,286 STAFFORD AVENUE                      ,            ,10312, 1 , -   , 1 ," 4,000 "," 2,002 ",1970,1,A1,"700,000",10/11/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6268,68, ,A2,227 SINCLAIR AVENUE                      ,            ,10312, 1 , -   , 1 ," 4,200 "," 1,884 ",1965,1,A2,"630,000",09/08/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6268,68, ,A2,227 SINCLAIR AVENUE                      ,            ,10312, 1 , -   , 1 ," 4,200 "," 1,884 ",1965,1,A2,"375,975",06/04/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6270,43, ,A2,255 VINELAND AVENUE                      ,            ,10312, 1 , -   , 1 ," 6,000 "," 2,450 ",1975,1,A2,"700,000",22/03/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6271,28, ,A3,291 CROWN AVENUE                         ,            ,10312, 1 , -   , 1 ," 12,000 "," 4,040 ",1985,1,A3,"980,000",17/01/17
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6272,10, ,A1,30 CANTON AVENUE                         ,            ,10312, 1 , -   , 1 ," 6,084 "," 2,184 ",1975,1,A1,"730,000",01/08/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6272,28, ,A2,11 HOLCOMB AVENUE                        ,            ,10312, 1 , -   , 1 ," 4,040 "," 2,092 ",1960,1,A2,"590,000",28/11/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6273,22, ,A1,16 HOLCOMB AVENUE                        ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,690 ",1945,1,A1,"435,000",04/08/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6273,33, ,A3,345 CROWN AVENUE                         ,            ,10312, 1 , -   , 1 ," 4,492 "," 2,800 ",2015,1,A3,"495,000",01/12/16
